stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
2_親,,岡山駅,親（駅・ターミナル）,34.6649785327933,133.918632712011,,https://www.unobus.co.jp/bustei/2#2_01,1,,
2_01,,岡山駅,,34.6649511659916,133.918614140014,2_01,https://www.unobus.co.jp/bustei/2#2_01,0,11,2_親
2_04,,岡山駅,,34.665088,133.918707,2_04,https://www.unobus.co.jp/bustei/2#2_04,0,12,2_親
3_03,,柳川西（北側）東岡山,,34.665708,133.923902,3_03,https://www.unobus.co.jp/bustei/3#3_03,0,,
4_親,,岡山駅前・ドレミの街,親（駅・ターミナル）,34.665691,133.921284,,https://www.unobus.co.jp/bustei/4#4_01,1,,
4_01,,岡山駅前・ドレミの街,,34.665691,133.921284,4_01,https://www.unobus.co.jp/bustei/4#4_01,0,6,4_親
5_01,,柳川西（北側）,,34.665708,133.923902,5_01,https://www.unobus.co.jp/bustei/5#5_01,0,,
6_01,,柳川,,34.665783,133.927505,6_01,https://www.unobus.co.jp/bustei/6#6_01,0,,
6_03,,柳川,,34.665496,133.927501,6_03,https://www.unobus.co.jp/bustei/6#6_03,0,,
7_03,,柳川西（南側）,,34.665478,133.924762714286,7_03,https://www.unobus.co.jp/bustei/7#7_03,0,,
8_01,,表町入口,,34.665818,133.928961285715,8_01,https://www.unobus.co.jp/bustei/8#8_01,0,,
8_03,,表町入口,,34.665468,133.928941571429,8_03,https://www.unobus.co.jp/bustei/8#8_03,0,,
10_01,,中銀本店西,,34.66287,133.930568,10_01,https://www.unobus.co.jp/bustei/10#10_01,0,,
10_03,,中銀本店西,,34.662609,133.930308,10_03,https://www.unobus.co.jp/bustei/10#10_03,0,,
12_01,,表町BC,,34.661572,133.930042,12_01,https://www.unobus.co.jp/bustei/12#12_01,0,,
12_02,,表町BC,,34.661499,133.930044,12_02,https://www.unobus.co.jp/bustei/12#12_02,0,,
12_03,,表町BC,,34.661394,133.930167,12_03,https://www.unobus.co.jp/bustei/12#12_03,0,,
12_04,,表町BC,,34.661395,133.930248,12_04,https://www.unobus.co.jp/bustei/12#12_04,0,,
12_05,,表町BC,,34.661649,133.930329,12_05,https://www.unobus.co.jp/bustei/12#12_05,0,,
12_06,,表町BC,,34.6617175685716,133.930157669197,12_06,https://www.unobus.co.jp/bustei/12#12_06,0,,
12_09,,表町BC,,34.6616275685716,133.930306240626,12_09,https://www.unobus.co.jp/bustei/12#12_09,0,,
14_01,,中銀本店前,,34.662347,133.931,14_01,https://www.unobus.co.jp/bustei/14#14_01,0,,
15_05,,中電前,,34.660463,133.931548,15_05,https://www.unobus.co.jp/bustei/15#15_05,0,,
16_01,,県庁前,,34.662238,133.934469,16_01,https://www.unobus.co.jp/bustei/16#16_01,0,,
16_05,,県庁前,,34.660805,133.934633,16_05,https://www.unobus.co.jp/bustei/16#16_05,0,,
18_01,,朝日高前,,34.661932,133.942239,18_01,https://www.unobus.co.jp/bustei/18#18_01,0,,
18_05,,朝日高前,,34.661685,133.942083,18_05,https://www.unobus.co.jp/bustei/18#18_05,0,,
20_01,,国富,,34.664004,133.944497428571,20_01,https://www.unobus.co.jp/bustei/20#20_01,0,,
20_05,,国富,,34.664846,133.945205,20_05,https://www.unobus.co.jp/bustei/20#20_05,0,,
22_01,,国富東,,34.667335,133.947251285714,22_01,https://www.unobus.co.jp/bustei/22#22_01,0,,
22_05,,国富東,,34.666825,133.946809,22_05,https://www.unobus.co.jp/bustei/22#22_05,0,,
24_01,,原東,,34.669042,133.951189,24_01,https://www.unobus.co.jp/bustei/24#24_01,0,,
24_05,,原東,,34.668601,133.950368,24_05,https://www.unobus.co.jp/bustei/24#24_05,0,,
26_01,,原尾島住宅前,,34.670595,133.954844,26_01,https://www.unobus.co.jp/bustei/26#26_01,0,,
26_05,,原尾島住宅前,,34.670339,133.954651,26_05,https://www.unobus.co.jp/bustei/26#26_05,0,,
28_01,,二本松,,34.67312,133.9586,28_01,https://www.unobus.co.jp/bustei/28#28_01,0,,
28_05,,二本松,,34.673095,133.959008571429,28_05,https://www.unobus.co.jp/bustei/28#28_05,0,,
30_01,,二本松東,,34.673317,133.961970714286,30_01,https://www.unobus.co.jp/bustei/30#30_01,0,,
30_05,,二本松東,,34.673145,133.960969,30_05,https://www.unobus.co.jp/bustei/30#30_05,0,,
32_01,,高屋,,34.673467,133.965313285714,32_01,https://www.unobus.co.jp/bustei/32#32_01,0,,
32_05,,高屋,,34.67335,133.964635,32_05,https://www.unobus.co.jp/bustei/32#32_05,0,,
